EmployeeID,Name,Department,JobTitle,MonthlySalary,PerformanceScore,YearsAtCompany,HireDate,LastPerformanceReviewDate,Email
EMP00001,Allison Hill,IT,Sales Manager,5181,47,25,1998-03-14,2022-11-17,james97@yahoo.com
EMP00002,Noah Rhodes,Marketing,Recruiter,12641,44,6,2017-08-12,2023-07-07,hcampbell@stevens-williams.org
EMP00003,Angie Henderson,Finance,Customer Service Manager,6096,9,10,2013-06-18,2022-09-19,ronald40@hotmail.com
EMP00004,Daniel Wagner,IT,Content Creator,9646,87,23,2000-09-10,2022-09-16,kellybutler@yahoo.com
EMP00005,Cristian Santos,HR,Software Engineer,14448,50,28,1995-09-28,2023-05-11,cynthia91@yahoo.com
EMP00006,Connie Lawrence,Finance,Content Creator,14348,77,1,2022-10-09,2023-01-05,fwright@davis.biz
EMP00007,Abigail Shaffer,Finance,Accountant,12782,60,5,2018-02-03,2022-10-15,teresa93@hotmail.com
EMP00008,Gina Moore,IT,Data Scientist,8882,96,8,2015-03-07,2022-04-04,jonesnathan@gmail.com
EMP00009,Gabrielle Davis,Engineering,HR Coordinator,8982,15,12,2011-04-11,2022-05-03,uhunt@morgan.com
EMP00010,Ryan Munoz,HR,HR Coordinator,8798,36,28,1995-07-25,2022-10-09,vjohnson@yahoo.com
EMP00011,Monica Herrera,IT,Support Agent,12627,63,23,2001-01-01,2023-07-08,ysanford@duncan.org
EMP00012,Jamie Arnold,HR,Mechanical Engineer,11415,69,22,2001-06-03,2022-12-31,brooksthomas@hill-barker.com
EMP00013,Lisa Hensley,HR,Sales Representative,11411,86,27,1997-01-05,2023-04-28,jacobsrenee@hotmail.com
EMP00014,Michele Williams,Finance,Mechanical Engineer,12846,80,16,2007-10-12,2023-04-05,adam30@yahoo.com
EMP00015,Dylan Miller,Marketing,Accountant,11456,41,19,2004-04-22,2022-06-10,joseph95@walker.com
EMP00016,Brian Ramirez,HR,Account Manager,12145,74,22,2001-08-27,2022-10-17,carrjessica@wilcox.com
EMP00017,Holly Wood,Customer Support,Network Engineer,7524,24,21,2002-07-31,2023-06-04,aspears@yahoo.com
EMP00018,Derek Zuniga,Finance,System Administrator,14925,82,19,2004-07-21,2022-08-15,michael72@yahoo.com
EMP00019,Lisa Jackson,Engineering,Security Analyst,9559,49,6,2017-02-02,2022-03-16,amandajackson@yahoo.com
EMP00020,Carla Gray,Marketing,Recruiter,10620,18,11,2012-06-28,2022-12-04,kjohnson@gmail.com
EMP00021,Margaret Hawkins DDS,Customer Support,Mechanical Engineer,5774,7,26,1997-01-11,2022-11-09,christopher85@yahoo.com
EMP00022,Patty Perez,Customer Support,IT Support,8673,4,13,2010-02-13,2022-09-25,shannon70@gmail.com
EMP00023,Ethan Adams,Engineering,Marketing Manager,6124,90,27,1996-08-09,2023-07-11,annette60@hawkins-henry.com
EMP00024,Tommy Walter,Marketing,Support Agent,11671,69,16,2007-03-12,2022-03-16,nicholasrush@gmail.com
EMP00025,Matthew Foster,Finance,Marketing Specialist,14706,60,11,2012-04-17,2023-01-14,hrobinson@roberts.biz
EMP00026,Judy Baker,Sales,System Administrator,4353,55,28,1995-01-10,2022-07-18,karen69@yahoo.com
EMP00027,Justin Baker,Marketing,Customer Service Manager,14514,16,23,2000-06-30,2023-05-31,crystal58@hotmail.com
EMP00028,Stephanie Ross,Engineering,Accountant,12081,99,18,2005-10-07,2023-03-03,michelesimpson@yahoo.com
EMP00029,Zachary Hicks,Customer Support,Marketing Specialist,6854,90,0,2023-11-26,2023-02-09,lmoore@yahoo.com
EMP00030,Anthony Rodriguez,Finance,Mechanical Engineer,11134,82,15,2008-08-18,2023-03-18,patelmatthew@yahoo.com
EMP00031,Rebecca Henderson,Marketing,Mechanical Engineer,3924,29,16,2007-12-16,2023-12-01,reyesdenise@jenkins-fields.org
EMP00032,James Ferrell,Sales,Marketing Specialist,5170,23,24,1999-12-29,2023-07-20,chelseagordon@greene.biz
EMP00033,Tricia Valencia,Sales,System Administrator,13094,14,25,1998-06-02,2023-04-07,chelsea29@kennedy.org
EMP00034,Nathan Maldonado,HR,Software Engineer,8506,79,24,1999-01-16,2022-01-27,melissamartin@yahoo.com
EMP00035,Debra Davidson,HR,Accountant,5395,49,11,2012-11-25,2022-12-29,thomasmarquez@morris.com
EMP00036,Jeffrey Chavez,IT,Sales Manager,11220,33,15,2008-11-19,2023-07-31,beckystevens@morrison.info
EMP00037,Sherri Baker,Engineering,Security Analyst,11226,25,13,2010-12-03,2023-07-01,monica23@bowen-jones.com
EMP00038,Cassandra Gaines,Marketing,Finance Manager,14781,21,4,2019-12-08,2023-10-04,eatkins@yahoo.com
EMP00039,Elizabeth Fowler,Marketing,Support Agent,8515,17,27,1996-12-27,2023-05-15,baldwincatherine@hotmail.com
EMP00040,Brittany Farmer,IT,Finance Manager,5670,23,16,2007-11-20,2023-09-29,ucastillo@carter.com
EMP00041,Paula Moreno,Customer Support,Security Analyst,6365,57,-1,2024-02-08,2022-09-14,gmoran@hotmail.com
EMP00042,Fred Smith,Customer Support,Customer Service Manager,3588,81,22,2001-09-04,2023-04-05,gcobb@gmail.com
